,estado,setor,faturamento_informado,divida_total_pj,score,taxa,atraso_corrente,prazo,valor_contrato,valor_contrato_mais_juros,valor_em_aberto
1491,SP,SERVICOS ADMINISTRATIVOS,60000.0,15000.0,475,4.0425,0,12.6,27743.5935,31834.44,0.0
1492,PA,SERVICOS PROFISSIONAIS E TECNICOS,30000.0,0.0,304,5.607,0,12.6,11099.907,14320.08,0.0
1493,PR,VAREJO,13500.0,2000.0,520,5.6175,1473,12.6,3329.676,4245.72,3538.1
1494,SP,SERVICOS DE SAUDE,100000.0,0.0,501,4.095,0,6.3,27124.209,28716.3,0.0
1495,AL,VAREJO,350000.0,663000.0,264,4.116,0,12.6,22327.2945,25977.0,0.0
1496,PR,SERVICOS DE SAUDE,50000.0,0.0,171,6.111,0,12.6,16747.9095,22056.24,0.0
1497,SP,VAREJO,50000.0,127000.0,882,4.599,0,12.6,17755.08,20915.28,0.0
1498,PR,SERVICOS DIVERSOS,25000.0,4000.0,224,5.208,0,12.6,5548.704,6792.24,0.0
1499,RJ,SERVICOS DIVERSOS,150000.0,16000.0,229,4.8825,0,6.3,16286.3085,18148.44,0.0
1500,PA,VAREJO,200000.0,164000.0,264,4.011,0,12.6,6659.499,7748.04,0.0
1501,PB,VAREJO,70000.0,14000.0,215,4.9665,0,12.6,11099.5395,13726.32,0.0
1502,PE,DIVERSOS,20000.0,0.0,540,5.1975,0,12.6,11099.004,13827.12,0.0
1503,BA,SERVICOS PROFISSIONAIS E TECNICOS,20000.0,0.0,716,5.04,0,12.6,5550.0375,6934.2,0.0
1504,PA,SERVICOS PROFISSIONAIS E TECNICOS,30000.0,0.0,353,4.9035,0,8.4,10908.891,12223.2,0.0
1505,SP,SERVICOS ADMINISTRATIVOS,27809.0,19000.0,294,5.46,0,5.25,10770.6165,11715.5,0.0
1506,SP,SERVICOS PROFISSIONAIS E TECNICOS,32000.0,0.0,303,5.1765,983,12.6,5549.607,6922.92,3346.9
1507,SP,TRANSPORTE,20833.0,0.0,650,4.5675,0,12.6,5548.7355,6558.48,0.0
1508,RJ,ATACADO,96000.0,155000.0,682,3.507,0,12.6,27743.7195,30891.6,0.0
1509,SP,TRANSPORTE,11000000.0,3450000.0,654,3.927,1203,12.6,111686.337,130247.88,63708.18
1510,SP,VAREJO,150000.0,301000.0,710,3.7905,0,12.6,44658.4635,51097.08,0.0
1511,PA,TELECOM,35000.0,18000.0,209,5.586,0,8.4,10909.2165,12596.32,0.0
1512,PA,VAREJO,80000.0,59000.0,242,4.7145,0,6.3,10816.8795,11729.82,0.0
1513,PE,VAREJO,110000.0,10000.0,634,4.0635,0,12.6,78103.431,89085.72,0.0
1514,RN,VAREJO,15000.0,10000.0,712,4.305,0,12.6,4995.291,5994.96,0.0
1515,AP,VAREJO,60000.0,7000.0,426,4.2735,0,12.6,27744.045,32319.12,0.0
1516,MT,SERVICOS DE ALOJAMENTO/ALIMENTACAO,180000.0,80000.0,136,4.2,0,12.6,22200.0765,26326.92,0.0
